seqnames	start	end	width	strand	promoterId	geneId	internalPromoter
chrX	99891803	99891803	1	-	prmtr.1	ENSG00000000003.10	FALSE
chrX	99894988	99894988	1	-	prmtr.2	ENSG00000000003.10	FALSE
chrX	99839799	99839799	1	+	prmtr.3	ENSG00000000005.5	FALSE
chrX	99848621	99848621	1	+	prmtr.4	ENSG00000000005.5	TRUE
chr20	49562398	49562398	1	-	prmtr.5	ENSG00000000419.8	TRUE
chr20	49575092	49575092	1	-	prmtr.6	ENSG00000000419.8	FALSE
chr1	169858029	169858029	1	-	prmtr.7	ENSG00000000457.9	TRUE
chr1	169863093	169863093	1	-	prmtr.8	ENSG00000000457.9	FALSE
chr1	169863408	169863408	1	-	prmtr.9	ENSG00000000457.9	FALSE
chr1	169631245	169631245	1	+	prmtr.10	ENSG00000000460.12	FALSE
chr1	169763871	169763871	1	+	prmtr.11	ENSG00000000460.12	FALSE
chr1	169764181	169764181	1	+	prmtr.12	ENSG00000000460.12	FALSE
chr1	169764550	169764550	1	+	prmtr.13	ENSG00000000460.12	TRUE
chr1	27950573	27950573	1	-	prmtr.14	ENSG00000000938.8	TRUE
chr1	27952751	27952751	1	-	prmtr.15	ENSG00000000938.8	FALSE
chr1	27953080	27953080	1	-	prmtr.16	ENSG00000000938.8	FALSE
chr1	27961788	27961788	1	-	prmtr.17	ENSG00000000938.8	FALSE
chr1	196621008	196621008	1	+	prmtr.18	ENSG00000000971.11	FALSE
chr1	196646118	196646118	1	+	prmtr.19	ENSG00000000971.11	TRUE
chr1	196706038	196706038	1	+	prmtr.20	ENSG00000000971.11	TRUE
chr6	143823259	143823259	1	-	prmtr.21	ENSG00000001036.9	TRUE
chr6	143832827	143832827	1	-	prmtr.22	ENSG00000001036.9	FALSE
chr6	53366148	53366148	1	-	prmtr.23	ENSG00000001084.6	TRUE
chr6	53370462	53370462	1	-	prmtr.24	ENSG00000001084.6	TRUE
chr6	53371876	53371876	1	-	prmtr.25	ENSG00000001084.6	TRUE
chr6	53375246	53375246	1	-	prmtr.26	ENSG00000001084.6	TRUE
chr6	53387577	53387577	1	-	prmtr.27	ENSG00000001084.6	TRUE
chr6	53388122	53388122	1	-	prmtr.28	ENSG00000001084.6	FALSE
chr6	53409927	53409927	1	-	prmtr.29	ENSG00000001084.6	FALSE
chr6	53481768	53481768	1	-	prmtr.30	ENSG00000001084.6	FALSE
chr6	41040684	41040684	1	+	prmtr.31	ENSG00000001167.10	FALSE
chr1	24706313	24706313	1	-	prmtr.32	ENSG00000001460.13	TRUE
chr1	24718169	24718169	1	-	prmtr.33	ENSG00000001460.13	TRUE
chr1	24718561	24718561	1	-	prmtr.34	ENSG00000001460.13	TRUE
chr1	24727949	24727949	1	-	prmtr.35	ENSG00000001460.13	TRUE
chr1	24737269	24737269	1	-	prmtr.36	ENSG00000001460.13	TRUE
chr1	24738517	24738517	1	-	prmtr.37	ENSG00000001460.13	FALSE
chr1	24743424	24743424	1	-	prmtr.38	ENSG00000001460.13	FALSE
chr1	24742284	24742284	1	+	prmtr.39	ENSG00000001461.12	FALSE
chr1	24746038	24746038	1	+	prmtr.40	ENSG00000001461.12	TRUE
chr1	24782656	24782656	1	+	prmtr.41	ENSG00000001461.12	FALSE
chrX	64743497	64743497	1	-	prmtr.42	ENSG00000001497.12	FALSE
chrX	64754655	64754655	1	-	prmtr.43	ENSG00000001497.12	FALSE
chr6	46097730	46097730	1	+	prmtr.44	ENSG00000001561.6	FALSE
chr3	50192478	50192478	1	+	prmtr.45	ENSG00000001617.7	FALSE
chr3	50196452	50196452	1	+	prmtr.46	ENSG00000001617.7	FALSE
chr3	50211240	50211240	1	+	prmtr.47	ENSG00000001617.7	TRUE
chr3	50220071	50220071	1	+	prmtr.48	ENSG00000001617.7	TRUE
chr3	50221705	50221705	1	+	prmtr.49	ENSG00000001617.7	TRUE
chr7	117105838	117105838	1	+	prmtr.50	ENSG00000001626.10	FALSE
chr7	117119358	117119358	1	+	prmtr.51	ENSG00000001626.10	FALSE
chr7	117120017	117120017	1	+	prmtr.52	ENSG00000001626.10	FALSE
chr7	117199692	117199692	1	+	prmtr.53	ENSG00000001626.10	FALSE
chr7	117251671	117251671	1	+	prmtr.54	ENSG00000001626.10	TRUE
chr7	117292897	117292897	1	+	prmtr.55	ENSG00000001626.10	TRUE
chr7	117329767	117329767	1	+	prmtr.56	ENSG00000001626.10	FALSE
chr7	117350071	117350071	1	+	prmtr.57	ENSG00000001626.10	FALSE
chr7	91875548	91875548	1	+	prmtr.58	ENSG00000001629.5	FALSE
chr7	91923776	91923776	1	+	prmtr.59	ENSG00000001629.5	FALSE
chr7	91936673	91936673	1	+	prmtr.60	ENSG00000001629.5	TRUE
chr7	91948736	91948736	1	+	prmtr.61	ENSG00000001629.5	FALSE
chr7	91972452	91972452	1	+	prmtr.62	ENSG00000001629.5	TRUE
chr7	92000886	92000886	1	+	prmtr.63	ENSG00000001629.5	TRUE
chr7	92025183	92025183	1	+	prmtr.64	ENSG00000001629.5	TRUE
chr7	91746762	91746762	1	-	prmtr.65	ENSG00000001630.11	TRUE
chr7	91753158	91753158	1	-	prmtr.66	ENSG00000001630.11	TRUE
chr7	91763844	91763844	1	-	prmtr.67	ENSG00000001630.11	FALSE
chr7	91764117	91764117	1	-	prmtr.68	ENSG00000001630.11	FALSE
chr7	91772266	91772266	1	-	prmtr.69	ENSG00000001630.11	FALSE
chr7	91830869	91830869	1	-	prmtr.70	ENSG00000001631.10	TRUE
chr7	91865087	91865087	1	-	prmtr.71	ENSG00000001631.10	TRUE
chr7	91870433	91870433	1	-	prmtr.72	ENSG00000001631.10	TRUE
chr7	91873463	91873463	1	-	prmtr.73	ENSG00000001631.10	FALSE
chr7	91875480	91875480	1	-	prmtr.74	ENSG00000001631.10	TRUE
chr12	1023364	1023364	1	-	prmtr.75	ENSG00000002016.12	TRUE
chr12	1025748	1025748	1	-	prmtr.76	ENSG00000002016.12	TRUE
chr12	1042242	1042242	1	-	prmtr.77	ENSG00000002016.12	TRUE
chr12	1058888	1058888	1	-	prmtr.78	ENSG00000002016.12	FALSE
chr12	1099219	1099219	1	-	prmtr.79	ENSG00000002016.12	FALSE
chr7	98836417	98836417	1	+	prmtr.80	ENSG00000002079.8	FALSE
chr7	98855833	98855833	1	+	prmtr.81	ENSG00000002079.8	TRUE
chr7	98861890	98861890	1	+	prmtr.82	ENSG00000002079.8	TRUE
chr7	98870924	98870924	1	+	prmtr.83	ENSG00000002079.8	TRUE
chr7	98895535	98895535	1	+	prmtr.84	ENSG00000002079.8	TRUE
chr7	98897040	98897040	1	+	prmtr.85	ENSG00000002079.8	TRUE
chr7	98902269	98902269	1	+	prmtr.86	ENSG00000002079.8	TRUE
chr11	64039340	64039340	1	-	prmtr.87	ENSG00000002330.9	TRUE
chr11	64040328	64040328	1	-	prmtr.88	ENSG00000002330.9	FALSE
chr11	64052176	64052176	1	-	prmtr.89	ENSG00000002330.9	TRUE
chr4	17578815	17578815	1	+	prmtr.90	ENSG00000002549.8	FALSE
chr4	17584003	17584003	1	+	prmtr.91	ENSG00000002549.8	FALSE
chr4	17585054	17585054	1	+	prmtr.92	ENSG00000002549.8	TRUE
chr4	17586424	17586424	1	+	prmtr.93	ENSG00000002549.8	FALSE
chr4	17587392	17587392	1	+	prmtr.94	ENSG00000002549.8	FALSE
chrX	2609220	2609220	1	+	prmtr.95	ENSG00000002586.13	FALSE
chrX	2609541	2609541	1	+	prmtr.96	ENSG00000002586.13	FALSE
chrX	2635415	2635415	1	+	prmtr.97	ENSG00000002586.13	FALSE
chrX	2637109	2637109	1	+	prmtr.98	ENSG00000002586.13	TRUE
chrX	2644382	2644382	1	+	prmtr.99	ENSG00000002586.13	FALSE
chr4	11430221	11430221	1	-	prmtr.100	ENSG00000002587.5	FALSE
chr4	11431389	11431389	1	-	prmtr.101	ENSG00000002587.5	FALSE
chr7	150521715	150521715	1	+	prmtr.102	ENSG00000002726.15	FALSE
chr7	150523481	150523481	1	+	prmtr.103	ENSG00000002726.15	FALSE
chr7	150549097	150549097	1	+	prmtr.104	ENSG00000002726.15	TRUE
chr7	150549565	150549565	1	+	prmtr.105	ENSG00000002726.15	FALSE
chr7	150555021	150555021	1	+	prmtr.106	ENSG00000002726.15	TRUE
chr7	120965421	120965421	1	+	prmtr.107	ENSG00000002745.8	FALSE
chr7	120969057	120969057	1	+	prmtr.108	ENSG00000002745.8	FALSE
chr7	43152198	43152198	1	+	prmtr.109	ENSG00000002746.10	FALSE
chr7	43153340	43153340	1	+	prmtr.110	ENSG00000002746.10	FALSE
chr7	43288186	43288186	1	+	prmtr.111	ENSG00000002746.10	FALSE
chr7	43288535	43288535	1	+	prmtr.112	ENSG00000002746.10	TRUE
chr7	43417377	43417377	1	+	prmtr.113	ENSG00000002746.10	FALSE
chr7	43436272	43436272	1	+	prmtr.114	ENSG00000002746.10	FALSE
chr7	43519207	43519207	1	+	prmtr.115	ENSG00000002746.10	FALSE
chr7	1856721	1856721	1	-	prmtr.116	ENSG00000002822.11	FALSE
chr7	1857135	1857135	1	-	prmtr.117	ENSG00000002822.11	FALSE
chr7	1869300	1869300	1	-	prmtr.118	ENSG00000002822.11	FALSE
chr7	1912392	1912392	1	-	prmtr.119	ENSG00000002822.11	FALSE
chr7	1980185	1980185	1	-	prmtr.120	ENSG00000002822.11	FALSE
chr7	2020426	2020426	1	-	prmtr.121	ENSG00000002822.11	FALSE
chr7	2119648	2119648	1	-	prmtr.122	ENSG00000002822.11	FALSE
chr7	2128886	2128886	1	-	prmtr.123	ENSG00000002822.11	FALSE
chr7	2147343	2147343	1	-	prmtr.124	ENSG00000002822.11	FALSE
chr7	2149236	2149236	1	-	prmtr.125	ENSG00000002822.11	FALSE
chr7	2215020	2215020	1	-	prmtr.126	ENSG00000002822.11	FALSE
chr7	2233110	2233110	1	-	prmtr.127	ENSG00000002822.11	FALSE
chr7	2252869	2252869	1	-	prmtr.128	ENSG00000002822.11	TRUE
chr7	2255562	2255562	1	-	prmtr.129	ENSG00000002822.11	TRUE
chr7	2257678	2257678	1	-	prmtr.130	ENSG00000002822.11	TRUE
chr7	2263263	2263263	1	-	prmtr.131	ENSG00000002822.11	FALSE
chr7	2265233	2265233	1	-	prmtr.132	ENSG00000002822.11	TRUE
chr7	2270296	2270296	1	-	prmtr.133	ENSG00000002822.11	TRUE
chr7	2272878	2272878	1	-	prmtr.134	ENSG00000002822.11	FALSE
chr17	37026112	37026112	1	+	prmtr.135	ENSG00000002834.13	FALSE
chr17	37030143	37030143	1	+	prmtr.136	ENSG00000002834.13	FALSE
chr17	37046487	37046487	1	+	prmtr.137	ENSG00000002834.13	TRUE
chr17	37070650	37070650	1	+	prmtr.138	ENSG00000002834.13	TRUE
chr17	46180719	46180719	1	+	prmtr.139	ENSG00000002919.10	FALSE
chr17	46184911	46184911	1	+	prmtr.140	ENSG00000002919.10	FALSE
chr17	46185256	46185256	1	+	prmtr.141	ENSG00000002919.10	FALSE
chr17	46189311	46189311	1	+	prmtr.142	ENSG00000002919.10	TRUE
chr17	46189928	46189928	1	+	prmtr.143	ENSG00000002919.10	TRUE
chr7	150497491	150497491	1	+	prmtr.144	ENSG00000002933.3	FALSE
chr7	150498622	150498622	1	+	prmtr.145	ENSG00000002933.3	FALSE
chr7	150498783	150498783	1	+	prmtr.146	ENSG00000002933.3	TRUE
chr7	150498846	150498846	1	+	prmtr.147	ENSG00000002933.3	FALSE
chr7	150499144	150499144	1	+	prmtr.148	ENSG00000002933.3	TRUE
chr12	9095113	9095113	1	-	prmtr.149	ENSG00000003056.3	FALSE
chr12	9096016	9096016	1	-	prmtr.150	ENSG00000003056.3	TRUE
chr12	9096482	9096482	1	-	prmtr.151	ENSG00000003056.3	TRUE
chr12	9098075	9098075	1	-	prmtr.152	ENSG00000003056.3	TRUE
chr12	9099444	9099444	1	-	prmtr.153	ENSG00000003056.3	TRUE
chr12	9102551	9102551	1	-	prmtr.154	ENSG00000003056.3	FALSE
chrX	117081905	117081905	1	-	prmtr.155	ENSG00000003096.9	TRUE
chrX	117107701	117107701	1	-	prmtr.156	ENSG00000003096.9	FALSE
chrX	117119283	117119283	1	-	prmtr.157	ENSG00000003096.9	FALSE
chrX	117162458	117162458	1	-	prmtr.158	ENSG00000003096.9	FALSE
chrX	117250828	117250828	1	-	prmtr.159	ENSG00000003096.9	FALSE
chrX	117251303	117251303	1	-	prmtr.160	ENSG00000003096.9	FALSE
chr2	72370213	72370213	1	-	prmtr.161	ENSG00000003137.4	FALSE
chr2	72371544	72371544	1	-	prmtr.162	ENSG00000003137.4	TRUE
chr2	72375167	72375167	1	-	prmtr.163	ENSG00000003137.4	FALSE
chr7	8197394	8197394	1	-	prmtr.164	ENSG00000003147.13	TRUE
chr7	8258089	8258089	1	-	prmtr.165	ENSG00000003147.13	TRUE
chr7	8258581	8258581	1	-	prmtr.166	ENSG00000003147.13	FALSE
chr7	8275556	8275556	1	-	prmtr.167	ENSG00000003147.13	TRUE
chr7	8276524	8276524	1	-	prmtr.168	ENSG00000003147.13	FALSE
chr7	8301699	8301699	1	-	prmtr.169	ENSG00000003147.13	FALSE
chr7	8301911	8301911	1	-	prmtr.170	ENSG00000003147.13	FALSE
chr7	8302317	8302317	1	-	prmtr.171	ENSG00000003147.13	FALSE
chr16	90075480	90075480	1	-	prmtr.172	ENSG00000003249.9	TRUE
chr16	90076619	90076619	1	-	prmtr.173	ENSG00000003249.9	TRUE
chr16	90085881	90085881	1	-	prmtr.174	ENSG00000003249.9	FALSE
chr16	90086536	90086536	1	-	prmtr.175	ENSG00000003249.9	FALSE
chr2	202591275	202591275	1	-	prmtr.176	ENSG00000003393.10	TRUE
chr2	202598176	202598176	1	-	prmtr.177	ENSG00000003393.10	TRUE
chr2	202603447	202603447	1	-	prmtr.178	ENSG00000003393.10	FALSE
chr2	202609111	202609111	1	-	prmtr.179	ENSG00000003393.10	TRUE
